artist,album,song,listen_date,genre
Lana Del Rey,Born to Die - The Paradise Edition,Ride,"31 Dec 2017, 04:37","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
Lana Del Rey,Born To Die (Bonus Track Version),Summertime Sadness,"31 Dec 2017, 04:33","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
The Hotelier,Goodness,Two Deliverances,"31 Dec 2017, 04:29","emo,pop punk,indie rock,midwest emo,seen live,indie,punk,post-hardcore,american,emo revival"
The Hotelier,"Home, Like Noplace Is There",The Scope Of All Of This,"31 Dec 2017, 04:26","emo,pop punk,indie rock,midwest emo,seen live,indie,punk,post-hardcore,american,emo revival"
The Hotelier,"Home, Like Noplace Is There",In Framing,"31 Dec 2017, 04:23","emo,pop punk,indie rock,midwest emo,seen live,indie,punk,post-hardcore,american,emo revival"
The Hotelier,"Home, Like Noplace Is There",Among the Wildflowers,"31 Dec 2017, 04:18","emo,pop punk,indie rock,midwest emo,seen live,indie,punk,post-hardcore,american,emo revival"
Dawes,North Hills,When My Time Comes,"31 Dec 2017, 04:12","seen live,folk,indie,indie rock,folk rock,acoustic,California,rock,americana,american"
The Color and Sound,Peace of Mind,Cigarettes,"31 Dec 2017, 04:10",indie
MisterWives,Connect The Dots,Coloring Outside The Lines,"31 Dec 2017, 04:06","indie,pop,indie pop,alternative,seen live,soul,american,alternative dance,folk,new york"
The New Pornographers,Electric Version,The Electric Version,"31 Dec 2017, 04:03","indie,indie rock,seen live,Canadian,indie pop,alternative,power pop,rock,pop,canada"
The 1975,The 1975,Sex,"31 Dec 2017, 01:07","indie,indie rock,british,seen live,alternative,Manchester,rock,alternative rock,indie pop,pop"
The 1975,"I Like It When You Sleep, For You Are So Beautiful Yet So Unaware Of It",The Sound,"31 Dec 2017, 01:03","indie,indie rock,british,seen live,alternative,Manchester,rock,alternative rock,indie pop,pop"
Smallpools,LOVETAP!,Dreaming,"31 Dec 2017, 01:00","indie pop,indie,alternative,pop rock,seen live,american,male vocalists,relevant magazine,pop,indie rock"
Weatherbox,Flies in All Directions,Bring Us the Head of Weatherbox,"31 Dec 2017, 00:56","seen live,indie,indie rock,emo,rock,alternative,san diego,alternative rock,experimental,Love"
Weatherbox,Flies in All Directions,Bring Us the Head of Weatherbox,"31 Dec 2017, 00:50","seen live,indie,indie rock,emo,rock,alternative,san diego,alternative rock,experimental,Love"
Dawes,Nothing Is Wrong,Time Spent In Los Angeles,"31 Dec 2017, 00:45","seen live,folk,indie,indie rock,folk rock,acoustic,California,rock,americana,american"
Passion Pit,Gossamer,I'll Be Alright,"31 Dec 2017, 00:41","electronic,indie,indie pop,seen live,pop,falsetto,electropop,american,synthpop,electronica"
Death Cab for Cutie,Codes and Keys (Deluxe),"Stay Young, Go Dancing","31 Dec 2017, 00:38","indie,indie rock,alternative,seen live,rock,emo,indie pop,alternative rock,death cab for cutie,american"
Yeasayer,Odd Blood,Ambling Alp,"31 Dec 2017, 00:34","seen live,experimental,psychedelic,indie,indie rock,folk,alternative,freak folk,american,electronic"
The Front Bottoms,Back On Top,2YL,"31 Dec 2017, 00:30","seen live,acoustic,folk,indie,Pop-punk,indie rock,emo,folk punk,rock,pop punk"
Passenger,Wicked Man's Rest,Night Vision Binoculars,"31 Dec 2017, 00:26","folk,Melodic Death Metal,alternative metal,Nu Metal,metal,seen live,indie,acoustic,british,alternative"
BÌ÷RNS,Seeing Stars,Seeing Stars,"31 Dec 2017, 00:23","pop,seen live,indie,folk,ambient,indie-pop,indie pop,synthpop,Michigan,alternative"
Carly Rae Jepsen,Emotion,Making the Most of the Night,"31 Dec 2017, 00:19","pop,Canadian,female vocalists,folk,acoustic,dance,Carly Rae Jepsen,synthpop,canada,seen live"
Voxtrot,"Mothers, Sisters, Daughters & Wives",Soft & Warm,"31 Dec 2017, 00:07","indie,indie pop,seen live,indie rock,alternative,twee,rock,austin,american,pop"
Conner Youngblood,Sketches,A Summer Song,"30 Dec 2017, 20:25","indie,singer-songwriter,folk,glitch,fresh,alternative,USA,indie folk,male vocalists,Grey's Anatomy"
PlayRadioPlay!,The Frequency,Compliment Each Other Like Colors,"30 Dec 2017, 20:20","indie,powerpop,electronic,electronica,alternative,seen live,indie pop,electropop,pop,american"
The Pink Spiders,Teenage Graffiti,Modern Swinger,"30 Dec 2017, 20:17","seen live,indie,pop punk,alternative,rock,punk,indie rock,alternative rock,punk rock,pop rock"
Andy Grammer,The Good Parts,Give Love,"30 Dec 2017, 20:13","pop,singer-songwriter,acoustic,seen live,los angeles,american,Mellow,happy,male vocalist,male vocalists"
dodie,You - EP,In The Middle,"30 Dec 2017, 20:10","indie,folk,female vocalists,acoustic,covers,youtube,seen live,pop,british,indie pop"
Lany,kinda,like you lots,"30 Dec 2017, 20:07","synthpop,electronic,seen live,indie pop,dream pop,electronica,electropop,indie,USA,male vocalists"
Old 97's,Satellite Rides,Question,"30 Dec 2017, 20:05","Alt-country,seen live,rock,indie,americana,texas,country,alt country,indie rock,alternative"
Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],Roll with It - Remastered,"30 Dec 2017, 20:00","britpop,rock,british,alternative,indie,seen live,alternative rock,indie rock,90s,oasis"
Morning Parade,Pure Adulterated Joy,Alienation,"30 Dec 2017, 19:56","indie rock,indie,alternative,seen live,electronic,indie pop,british,rock,alternative rock,Indietronic"
Bomb the Music Industry!,Vacation,Campaign for a Better Next Weekend,"30 Dec 2017, 19:51","ska,punk,ska punk,seen live,punk rock,skacore,hardcore,indie,ska-punk,hardcore punk"
Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],Champagne Supernova - Remastered,"30 Dec 2017, 19:44","britpop,rock,british,alternative,indie,seen live,alternative rock,indie rock,90s,oasis"
Jeff Rosenstock,We Cool?,Nausea,"30 Dec 2017, 19:40","pop punk,punk,seen live,indie rock,power pop,punk rock,not ska,looks like shit,rock,indie"
Carly Rae Jepsen,Cut To The Feeling,Cut to the Feeling,"30 Dec 2017, 19:36","pop,Canadian,female vocalists,folk,acoustic,dance,Carly Rae Jepsen,synthpop,canada,seen live"
BÌ÷RNS,Candy,Seeing Stars,"30 Dec 2017, 19:33","pop,seen live,indie,folk,ambient,indie-pop,indie pop,synthpop,Michigan,alternative"
Passion Pit,Manners,Moth's Wings,"30 Dec 2017, 19:29","electronic,indie,indie pop,seen live,pop,falsetto,electropop,american,synthpop,electronica"
Prince,Purple Rain,Purple Rain,"30 Dec 2017, 19:19","funk,pop,soul,80s,rock,seen live,prince,rnb,dance,classic rock"
Dawes,Nothing Is Wrong,The Way You Laugh,"30 Dec 2017, 19:15","seen live,folk,indie,indie rock,folk rock,acoustic,California,rock,americana,american"
Stickup Kid,Future Fire,Lost,"30 Dec 2017, 19:11","pop punk,melodic hardcore,punk rock,Pop-punk,punk,melodic punk,rock,California,san jose,All"
Lana Del Rey,Born To Die (Bonus Track Version),Off to the Races,"30 Dec 2017, 19:08","female vocalists,indie,indie pop,pop,alternative,american,dream pop,seen live,singer-songwriter,trip-hop"
A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Rockstar,"29 Dec 2017, 21:41","indie,indie pop,pop,piano,american,a great big world,indie rock,piano rock,male vocalists,Christina Aguilera"
Taylor Swift,1989,Out of the Woods,"29 Dec 2017, 21:37","country,pop,female vocalists,singer-songwriter,acoustic,taylor swift,country pop,american,seen live,female"
Rihanna,FourFiveSeconds,FourFiveSeconds,"29 Dec 2017, 21:34","pop,rnb,female vocalists,dance,Hip-Hop,Rihanna,r&b,seen live,reggae,hip hop"
Spoon,Gimme Fiction,The Delicate Place,"29 Dec 2017, 21:30","indie,indie rock,seen live,alternative,rock,indie pop,alternative rock,american,austin,spoon"
Eminem,The Monster,The Monster,"29 Dec 2017, 21:28","rap,Hip-Hop,Eminem,hip hop,pop,american,detroit,seen live,hiphop,Gangsta Rap"
Hunter Hayes,Hunter Hayes (Encore),Wanted,"29 Dec 2017, 21:24","country,male vocalists,Country-Pop,country rock,contemporary country,soul,country pop,seen live,pop,cajun"
