artist,album,track,listen_date,genre
Kings of Leon,Come Around Sundown,Radioactive,"15 Jun 2019, 19:11","rock,indie,indie rock,alternative,seen live,Southern Rock,alternative rock,american,Garage Rock,kings of leon"
Polyphia,The Most Hated,40oz,"15 Jun 2019, 19:07","Progressive metal,instrumental,math metal,DJENT,metalcore,Progressive rock,math rock,Progressive,post-hardcore,metal"
STS9,"Rise Above, Get Loud","Rise Above, Get Loud","15 Jun 2019, 19:02","electronic,Jam,experimental,jam band,seen live,electronica,jamtronica,chillout,ambient,psychedelic"
Say Anything,Is A Real Boy,Every Man Has a Molly,"15 Jun 2019, 18:59","seen live,indie,alternative,rock,emo,indie rock,pop punk,punk,alternative rock,Say Anything"
Tiny Moving Parts,Swell,Applause,"15 Jun 2019, 18:55","emo,math rock,post-hardcore,screamo,midwest emo,seen live,indie rock,indie,Progressive,pop punk"
Grouplove,Big Mess,Good Morning,"15 Jun 2019, 18:52","indie,indie rock,indie pop,alternative,rock,seen live,american,alternative rock,pop,male vocalists"
The Front Bottoms,Back On Top,2YL,"15 Jun 2019, 18:48","seen live,acoustic,folk,indie,Pop-punk,indie rock,emo,folk punk,rock,pop punk"
Grouplove,Spreading Rumours,Schoolboy,"15 Jun 2019, 18:44","indie,indie rock,indie pop,alternative,rock,seen live,american,alternative rock,pop,male vocalists"
Diet Cig,Over Easy,Harvard,"15 Jun 2019, 18:40","seen live,indie,indie pop,pop,punk,indie rock,USA,pop rock,pop punk,rock"
Japanese Breakfast,Japanese Breakfast on Audiotree Live,Jane Cum - Audiotree Live Version,"15 Jun 2019, 18:36","dream pop,seen live,indie,Lo-Fi,indie pop,indie rock,female vocalists,USA,pop,Pennsylvania"
Circa Waves,T-Shirt Weather,Young Chasers,"15 Jun 2019, 18:33","seen live,indie,indie rock,british,rock,england,seenlive,UK,britpop,liverpool"
Phoenix,Wolfgang Amadeus Phoenix,1901,"15 Jun 2019, 18:29","indie,french,indie pop,seen live,electronic,rock,indie rock,alternative,pop,alternative rock"
Vinyl Theatre,Origami,New Machines,"14 Jun 2019, 23:17","indie,indie rock,electropop,seen live,alternative,Pop-Rock,All,indie pop,electronic,pop"
Brandtson,"Hello, Control",Earthquakes and Sharks,"14 Jun 2019, 23:14","emo,indie,seen live,indie rock,rock,alternative,american,electronic,indie pop,indie emo"
Algernon Cadwallader,Some Kind of Cadwallader,Katie's Conscience,"14 Jun 2019, 23:12","emo,math rock,indie,indie rock,seen live,midwest emo,Kinsella-esque,Twinkle daddies,post-hardcore,indiemo"
R.E.M.,Accelerate,Hollow Man,"14 Jun 2019, 23:09","rock,alternative rock,alternative,indie,seen live,pop,classic rock,indie rock,80s,american"
Procol Harum,A Whiter Shade of Pale,A Whiter Shade of Pale - Original Single Version,"14 Jun 2019, 23:05","Progressive rock,classic rock,rock,60s,psychedelic,Psychedelic Rock,british,oldies,70s,Progressive"
LCD Soundsystem,Sound Of Silver,All My Friends,"14 Jun 2019, 22:57","electronic,indie,seen live,dance,electronica,alternative,electro,indie rock,dance punk,dance-punk"
oso oso,dig (II),dig (II),"14 Jun 2019, 22:54","emo,alternative,seen live,alternative rock,math rock,USA,american,pop punk,seen,Midwest"
Penfold,Amateurs & Professionals,I'll Take You Everywhere,"14 Jun 2019, 22:48","emo,midwest emo,indie,indie emo,real emo,indie rock,post-hardcore,alternative rock,indiemo,post-emo indie rock"
Swordfish,Rodia,Wash,"14 Jun 2019, 22:44","thrash metal,jazz,indie pop,acoustic,breakbeat,Alt-country,heavy metal,rock,indie rock,australian"
Pet Symmetry,Two Songs About Cars. Two Songs With Long Titles.,A Detailed and Poetic Physical Threat to the Person Who Intentionally Vandalized my 1994 Dodge Intrepid Behind Kate's Apartment,"14 Jun 2019, 22:42","emo,pop punk,power pop,punk,indie,indie rock,midwest emo,seen live,pop,alternative rock"
AMNION,AmenNamO,Heart Breath Magik,"14 Jun 2019, 22:29","black metal,depressive black metal,spanish black metal,spanish,ambient,atmospheric black metal,electronic,dark ambient,ambient black metal,raw black metal"
You Blew It!,Abendrot,Like Myself,"14 Jun 2019, 22:26","emo,indie rock,math rock,indie,Twinkle daddies,seen live,midwest emo,florida,Twinkle Emo,alternative rock"
Swordfish,Rodia,Owen,"14 Jun 2019, 22:23","thrash metal,jazz,indie pop,acoustic,breakbeat,Alt-country,heavy metal,rock,indie rock,australian"
Dowsing,I Don't Even Care Anymore,Get Weird,"14 Jun 2019, 22:19","emo,midwest emo,indie,pop punk,Pop-punk,seen live,indie rock,american,chicago,indiemo"
Told Slant,Still Water,Sleep Instead of Life,"14 Jun 2019, 22:17","emo,indie rock,Lo-Fi,indie folk,indie,folk,slowcore,seen live,rock,midwest emo"
Frog,Kind of Blah,Catchyalater,"14 Jun 2019, 22:12","rock,emo,new york,electro,House,Progressive House,Calming,under 2000 listeners,guitar pop,darkpsy"
Alaska,Shrine,Hashish Christo,"14 Jun 2019, 22:08","Drum and bass,drumfunk,ska,electronic,dnb,Drum n Bass,atmospheric drum and bass,hardcore,seen live,post-hardcore"
Gold Route,Prosper,Happier,"14 Jun 2019, 22:05","pop punk,punk,emo,punk rock"
Boston Manor,Be Nothing.,Laika,"14 Jun 2019, 22:02","pop punk,punk,emo,seen live,punk rock,indie,hardcore,bowlcutcore,rock,british"
The Decemberists,The Crane Wife,Sons & Daughters,"14 Jun 2019, 21:57","indie,indie rock,folk,seen live,alternative,indie pop,rock,indie folk,folk rock,favorites"
The Decemberists,The King Is Dead,Don't Carry It All,"14 Jun 2019, 21:53","indie,indie rock,folk,seen live,alternative,indie pop,rock,indie folk,folk rock,favorites"
The National Parks,Young,Wind & Anchor,"14 Jun 2019, 21:49","electronic,minimal,seen live,folk,freeworm,Malian blues,rap,electro,laidback,afro-caribbean"
