Phoebe Bridgers,Spotify Singles,Friday Iâ€™m In Love - Recorded at Spotify Studios NYC,"06 Dec 2018, 00:54"
Janelle MonÃ¡e,Dirty Computer,I Like That,"05 Dec 2018, 23:11"
Janelle MonÃ¡e,Dirty Computer,Make Me Feel,"05 Dec 2018, 23:04"
Janelle MonÃ¡e,Dirty Computer,I Got The Juice (feat. Pharrell Williams),"05 Dec 2018, 23:04"
Janelle MonÃ¡e,Dirty Computer,Pynk (feat. Grimes),"05 Dec 2018, 23:01"
Grimes,Art Angels,Kill V. Maim,"05 Dec 2018, 22:57"
Grimes,We Appreciate Power,We Appreciate Power,"05 Dec 2018, 22:50"
Janelle MonÃ¡e,Dirty Computer,Django Jane,"05 Dec 2018, 03:20"
Janelle MonÃ¡e,Dirty Computer,Screwed (feat. ZoÃ« Kravitz),"05 Dec 2018, 03:15"
Janelle MonÃ¡e,Dirty Computer,Take A Byte,"05 Dec 2018, 03:10"
Janelle MonÃ¡e,Dirty Computer,"Crazy, Classic, Life","05 Dec 2018, 03:05"
Janelle MonÃ¡e,Dirty Computer,Dirty Computer (feat. Brian Wilson),"05 Dec 2018, 03:03"
Mitski,Be the Cowboy,Two Slow Dancers,"05 Dec 2018, 03:03"
Mitski,Be the Cowboy,Two Slow Dancers,"05 Dec 2018, 02:38"
Mitski,Be the Cowboy,Two Slow Dancers,"05 Dec 2018, 02:34"
Mitski,Be the Cowboy,Two Slow Dancers,"05 Dec 2018, 02:29"
Mitski,Be the Cowboy,Two Slow Dancers,"05 Dec 2018, 02:09"
Mitski,Be the Cowboy,Two Slow Dancers,"05 Dec 2018, 01:50"
tUnE-yArDs,Spotify Singles,Sweet Dreams (Are Made of This) - Recorded at Spotify Studios NYC,"04 Dec 2018, 23:21"
tUnE-yArDs,I can feel you creep into my private life,Look At Your Hands,"04 Dec 2018, 22:03"
tUnE-yArDs,w h o k i l l,Bizness,"04 Dec 2018, 21:59"
tUnE-yArDs,Nikki Nack,Water Fountain,"04 Dec 2018, 21:56"
tUnE-yArDs,w h o k i l l,Powa,"04 Dec 2018, 21:40"
Lucy Dacus,Historian,Historians,"04 Dec 2018, 21:36"
Lucy Dacus,Historian,Pillar Of Truth,"04 Dec 2018, 21:29"
Lucy Dacus,Historian,Next of Kin,"04 Dec 2018, 21:25"
Lucy Dacus,Historian,Timefighter,"04 Dec 2018, 21:19"
Lucy Dacus,Historian,Body to Flame,"04 Dec 2018, 21:16"
Lucy Dacus,Historian,Yours & Mine,"04 Dec 2018, 21:10"
Lucy Dacus,Historian,Nonbeliever,"04 Dec 2018, 21:07"
Lucy Dacus,Historian,The Shell,"04 Dec 2018, 21:02"
